ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
573237050	573237050	A_jinshanensis.sub-aerogenes.fasta	A_jinshanensis.sub-aerogenes.fasta	100.000000	1561	1561	1557	0.997438	0.400000	0.500000
573237050	824902336	A_jinshanensis.sub-aerogenes.fasta	F_fructivorans.strain-DSM-20203.fasta	59.925977	1561	1351	691	0.474588	0.400000	0.500000
573237050	75270993	A_jinshanensis.sub-aerogenes.fasta	92_Scapto_009.fasta	63.978514	1561	1202	740	0.535650	0.400000	0.500000
573237050	953307900	A_jinshanensis.sub-aerogenes.fasta	42_Melli_004.fasta	63.643175	1561	1163	718	0.527166	0.400000	0.500000
573237050	1052490636	A_jinshanensis.sub-aerogenes.fasta	39_Melli_barcode04.fasta	61.529146	1561	1664	808	0.501085	0.400000	0.500000
573237050	324979511	A_jinshanensis.sub-aerogenes.fasta	40_Melli_barcode03.fasta	61.504280	1561	1789	806	0.481194	0.400000	0.500000
573237050	762378046	A_jinshanensis.sub-aerogenes.fasta	47_Melli_001.fasta	61.618919	1561	1896	814	0.470929	0.400000	0.500000
573237050	653875641	A_jinshanensis.sub-aerogenes.fasta	45_Melli_020.fasta	61.617426	1561	1843	812	0.477086	0.400000	0.500000
573237050	135250698	A_jinshanensis.sub-aerogenes.fasta	F_sanfranciscensis.DSM-20451.fasta	58.578358	1561	1324	670	0.464471	0.400000	0.500000
573237050	12712425	A_jinshanensis.sub-aerogenes.fasta	51_Scapto_004.fasta	63.828562	1561	1296	786	0.550228	0.400000	0.500000
573237050	805176975	A_jinshanensis.sub-aerogenes.fasta	A_apinorum.strain-Fhon13.fasta	60.841892	1561	1335	740	0.511050	0.400000	0.500000
573237050	113627661	A_jinshanensis.sub-aerogenes.fasta	L_Lactobacillus.spSy-1.fasta	61.694355	1561	1734	806	0.489226	0.400000	0.500000
